trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.3, 'e': 0.05223513114619603}",20,8,17.640625420472333,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.051303310331919136}",30,1,-7.458501339843752,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.3, 'e': 0.05038811223899596}",25,1,33.3837798237298,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.04948924033523821}",25,20,10.910952666518828,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.048606403378285624}",25,0,38.334885830585876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.047739315321240997}",20,12,16.397025210024367,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.04688769521998851}",30,10,35.18598283900201,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.046051267142165266}",20,0,29.403902192018347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.3, 'e': 0.045229760077756934}",25,20,9.353953533916117,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.044422907851287996}",20,12,12.658818096490915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.043630449035578694}",30,17,18.831002822111333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.04285212686704019}",20,13,15.896568406577087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.04208768916248107}",25,0,-21.612302199233504,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
177,False,"{'a': 0.3, 'e': 0.041336888237397666}",20,4,26.122280587219727,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.04059948082572219}",30,0,39.520848520535836,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.3, 'e': 0.039875228001002336}",30,18,24.892524271968114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.03916389509898708}",20,10,-23.769184889931328,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.3, 'e': 0.038465251641593354}",20,0,29.372379792220002,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.3, 'e': 0.03777907126222914}",30,12,-15.590619353107568,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.3, 'e': 0.037105131632448794}",25,17,14.660943890135517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.03644321438991654}",25,18,3.996249469584312,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.03579310506765532}",30,0,28.9684512347914,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
186,False,"{'a': 0.3, 'e': 0.03515459302455746}",30,11,37.46943698885927,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
